date,_TYPE_,_FREQ_,total_volume
09/19/2008,1,409,1348625
09/22/2008,1,343,375687
09/23/2008,1,368,536973
09/24/2008,1,324,471729
09/25/2008,1,380,515557
09/26/2008,1,283,476766
09/29/2008,1,410,889107
09/30/2008,1,394,537956
10/01/2008,1,332,334844
10/02/2008,1,299,533094
10/03/2008,1,349,646005
10/06/2008,1,535,1189913
10/07/2008,1,429,1171388
10/08/2008,1,478,958760
10/09/2008,1,514,1111830
10/10/2008,1,501,1243115
10/13/2008,1,501,863474
10/14/2008,1,425,1012375
10/15/2008,1,385,957899
10/16/2008,1,439,1023253
10/17/2008,1,470,1030336
10/20/2008,1,395,457748
10/21/2008,1,331,359343
10/22/2008,1,372,623499
10/23/2008,1,361,712898
10/24/2008,1,326,554336
10/27/2008,1,331,391918
10/28/2008,1,401,479236
10/29/2008,1,447,558578
10/30/2008,1,364,327190
10/31/2008,1,404,429792
11/03/2008,1,299,302410
11/04/2008,1,341,551848
11/05/2008,1,341,413987
11/06/2008,1,345,589247
11/07/2008,1,320,342350
11/10/2008,1,296,459657
11/11/2008,1,354,669308
11/12/2008,1,357,734322
11/13/2008,1,420,876200
11/14/2008,1,340,772394
11/17/2008,1,347,676435
11/18/2008,1,389,823427
11/19/2008,1,355,1041587
11/20/2008,1,458,1218067
11/21/2008,1,420,1344896
11/24/2008,1,356,647762
11/25/2008,1,321,477334
11/26/2008,1,309,573798
11/28/2008,1,222,142352
12/01/2008,1,271,509564
12/02/2008,1,278,461496
12/03/2008,1,300,560001
12/04/2008,1,355,785892
12/05/2008,1,326,746440
12/08/2008,1,367,915507
12/09/2008,1,295,945794
12/10/2008,1,254,539262
12/11/2008,1,287,640629
12/12/2008,1,287,619032
