PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,RETX
84788,20080108,AMZN,AMAZON COM INC,15473,2313510,-0.010583
84788,20080109,AMZN,AMAZON COM INC,15473,2313510,-0.030269
84788,20080110,AMZN,AMAZON COM INC,15473,2313510,-0.011265
84788,20080111,AMZN,AMAZON COM INC,15473,2313510,-0.03774
84788,20080114,AMZN,AMAZON COM INC,15473,2313510,0.022077
84788,20080115,AMZN,AMAZON COM INC,15473,2313510,-0.031737
84788,20080116,AMZN,AMAZON COM INC,15473,2313510,0.001371
84788,20080117,AMZN,AMAZON COM INC,15473,2313510,-0.002862
84788,20080118,AMZN,AMAZON COM INC,15473,2313510,-0.004493
84788,20080122,AMZN,AMAZON COM INC,15473,2313510,-0.016048
84788,20080123,AMZN,AMAZON COM INC,15473,2313510,-0.057467
84788,20080124,AMZN,AMAZON COM INC,15473,2313510,0.05002
84788,20080125,AMZN,AMAZON COM INC,15473,2313510,-0.000901
84788,20080128,AMZN,AMAZON COM INC,15473,2313510,-0.022938
84788,20080129,AMZN,AMAZON COM INC,15473,2313510,-0.024664
84788,20080130,AMZN,AMAZON COM INC,15473,2313510,0.003516
84788,20080131,AMZN,AMAZON COM INC,15473,2313510,0.047029
84788,20080201,AMZN,AMAZON COM INC,15473,2313510,-0.039511
84788,20080204,AMZN,AMAZON COM INC,15473,2313510,-0.009112
84788,20080205,AMZN,AMAZON COM INC,15473,2313510,-0.025152
84788,20080206,AMZN,AMAZON COM INC,15473,2313510,-0.049938
84788,20080207,AMZN,AMAZON COM INC,15473,2313510,0.035334
84788,20080208,AMZN,AMAZON COM INC,15473,2313510,0.036525
84788,20080211,AMZN,AMAZON COM INC,15473,2313510,0.022993
84788,20080212,AMZN,AMAZON COM INC,15473,2313510,-0.009842
84788,20080213,AMZN,AMAZON COM INC,15473,2313510,0.044057
84788,20080214,AMZN,AMAZON COM INC,15473,2313510,-0.02483
84788,20080215,AMZN,AMAZON COM INC,15473,2313510,-0.037467
84788,20080219,AMZN,AMAZON COM INC,15473,2313510,-0.012061
84788,20080220,AMZN,AMAZON COM INC,15473,2313510,0.021643
84788,20080221,AMZN,AMAZON COM INC,15473,2313510,-0.050788
84788,20080222,AMZN,AMAZON COM INC,15473,2313510,0.031187
84788,20080225,AMZN,AMAZON COM INC,15473,2313510,0.016509
84788,20080226,AMZN,AMAZON COM INC,15473,2313510,-0.021564
84788,20080227,AMZN,AMAZON COM INC,15473,2313510,-0.011438
84788,20080228,AMZN,AMAZON COM INC,15473,2313510,-0.042613
84788,20080229,AMZN,AMAZON COM INC,15473,2313510,-0.049816
84788,20080303,AMZN,AMAZON COM INC,15473,2313510,-0.031643
84788,20080304,AMZN,AMAZON COM INC,15473,2313510,0.046612
84788,20080305,AMZN,AMAZON COM INC,15473,2313510,-0.005355
84788,20080306,AMZN,AMAZON COM INC,15473,2313510,-0.034622
84788,20080307,AMZN,AMAZON COM INC,15473,2313510,0.021517
84788,20080310,AMZN,AMAZON COM INC,15473,2313510,-0.009674
84788,20080311,AMZN,AMAZON COM INC,15473,2313510,0.05798
84788,20080312,AMZN,AMAZON COM INC,15473,2313510,-0.009531
84788,20080313,AMZN,AMAZON COM INC,15473,2313510,0.027214
84788,20080314,AMZN,AMAZON COM INC,15473,2313510,-0.001464
84788,20080317,AMZN,AMAZON COM INC,15473,2313510,-0.024773
84788,20080318,AMZN,AMAZON COM INC,15473,2313510,0.077709
84788,20080319,AMZN,AMAZON COM INC,15473,2313510,-0.021339
84788,20080320,AMZN,AMAZON COM INC,15473,2313510,0.043038
84788,20080324,AMZN,AMAZON COM INC,15473,2313510,0.03771
84788,20080325,AMZN,AMAZON COM INC,15473,2313510,-0.01027
84788,20080326,AMZN,AMAZON COM INC,15473,2313510,-0.018225
84788,20080327,AMZN,AMAZON COM INC,15473,2313510,-0.04065
84788,20080328,AMZN,AMAZON COM INC,15473,2313510,-0.014689
84788,20080331,AMZN,AMAZON COM INC,15473,2313510,0.022076
84788,20080401,AMZN,AMAZON COM INC,15473,2313510,0.075736
84788,20080402,AMZN,AMAZON COM INC,15473,2313510,0.008735
84788,20080403,AMZN,AMAZON COM INC,15473,2313510,-0.031408
84788,20080404,AMZN,AMAZON COM INC,15473,2313510,0.025754
84788,20080407,AMZN,AMAZON COM INC,15473,2313510,0.00039
84788,20080408,AMZN,AMAZON COM INC,15473,2313510,0.005202
84788,20080409,AMZN,AMAZON COM INC,15473,2313510,-0.037646
84788,20080410,AMZN,AMAZON COM INC,15473,2313510,0.005915
84788,20080411,AMZN,AMAZON COM INC,15473,2313510,-0.037953
84788,20080414,AMZN,AMAZON COM INC,15473,2313510,0.008612
84788,20080415,AMZN,AMAZON COM INC,15473,2313510,-0.001515
84788,20080416,AMZN,AMAZON COM INC,15473,2313510,0.028828
84788,20080417,AMZN,AMAZON COM INC,15473,2313510,-0.007374
84788,20080418,AMZN,AMAZON COM INC,15473,2313510,0.081848
84788,20080421,AMZN,AMAZON COM INC,15473,2313510,0.000999
84788,20080422,AMZN,AMAZON COM INC,15473,2313510,-0.007234
84788,20080423,AMZN,AMAZON COM INC,15473,2313510,0.017588
84788,20080424,AMZN,AMAZON COM INC,15473,2313510,-0.040864
